estimated_duration_hours,difficulty_score,priority_score,task_type_score,subject_has_events,hours_until_next_subject_event,day_load_score,free_hours_today,days_until_deadline,recommended_deadline_hours,data_source
5,1,2,2,0,0,46,2,14,76,synthetic
0.5,4,1,2,1,18,97,7,5,28,synthetic
4,1,2,2,1,12,94,1,4,30,synthetic
1,3,3,5,0,0,95,6,7,82,synthetic
1.5,2,3,1,1,6,77,2,7,24,synthetic
0.5,2,4,4,0,0,91,6,7,62.0,synthetic
1.5,5,4,4,1,48,70,6,5,52,synthetic
3,1,1,3,0,0,100,5,4,48,synthetic
0.5,1,1,5,0,0,0,7,14,66.0,synthetic
4,4,3,3,1,72,4,7,7,70,synthetic
0.5,3,1,1,0,0,18,6,5,70.0,synthetic
1,3,4,1,1,12,20,3,4,10,synthetic
3,4,3,3,0,0,91,3,5,92,synthetic
2,5,3,5,0,0,90,4,4,48,synthetic
3,2,3,1,1,18,64,6,1,22,synthetic
1.5,5,3,1,1,18,42,7,7,16,synthetic
1.5,1,1,1,1,36,62,1,3,48,synthetic
1.5,3,3,1,0,0,91,3,7,72.0,synthetic
2,3,3,2,0,0,76,4,3,48,synthetic
0.5,3,3,5,0,0,45,5,2,24,synthetic
0.5,5,4,5,1,6,36,7,3,4,synthetic
5,4,1,2,1,36,56,7,4,40,synthetic
3,5,4,5,0,0,68,5,7,93,synthetic
1,3,2,5,1,6,51,6,2,4,synthetic
1,2,1,4,1,6,56,1,7,18,synthetic
6,2,4,3,0,0,57,4,5,75,synthetic
1.5,3,2,5,1,6,37,2,2,12,synthetic
6,1,3,2,0,0,44,4,7,65,synthetic
3,4,4,3,1,6,80,1,14,24,synthetic
5,4,2,1,1,12,26,5,10,10,synthetic
1.5,4,2,2,0,0,92,3,2,24,synthetic
2,2,1,5,0,0,18,4,10,80,synthetic
1.5,4,2,5,0,0,66,7,1,24,synthetic
2,2,2,1,0,0,37,7,5,61,synthetic
1,1,3,3,1,48,10,7,10,46,synthetic
4,2,1,2,1,18,10,4,7,16,synthetic
5,4,3,1,1,72,98,1,14,90,synthetic
6,3,2,3,0,0,84,2,2,24,synthetic
4,1,1,4,0,0,2,5,14,77,synthetic
5,2,3,2,0,0,93,1,5,89,synthetic
3,1,3,1,1,6,11,3,14,4,synthetic
4,5,3,4,1,12,63,6,3,16,synthetic
1,4,3,3,0,0,28,5,5,72,synthetic
0.5,3,1,3,0,0,60,6,5,82.0,synthetic
4,1,3,2,1,24,13,3,5,22,synthetic
2,5,2,5,0,0,92,6,7,109,synthetic
1,4,2,4,0,0,45,7,5,82,synthetic
2,1,2,3,1,72,14,6,5,59,synthetic
6,4,3,2,1,36,47,2,1,24,synthetic
2,1,3,5,1,12,72,1,4,24,synthetic
2,1,3,5,0,0,81,7,10,70,synthetic
1,1,3,5,1,48,10,6,3,46,synthetic
3,1,4,5,1,36,35,1,5,42,synthetic
4,2,1,3,0,0,44,2,4,48,synthetic
6,5,1,2,1,36,68,6,5,40,synthetic
6,3,2,5,1,36,72,2,1,24,synthetic
6,5,2,1,0,0,25,7,14,101,synthetic
2,4,4,4,0,0,66,5,1,24,synthetic
0.5,2,2,2,1,72,69,5,4,48,synthetic
4,1,3,1,0,0,61,2,14,68,synthetic
2,3,3,1,0,0,97,4,7,74,synthetic
1.5,1,1,5,0,0,20,5,4,48,synthetic
0.5,1,3,2,0,0,90,5,14,55.0,synthetic
3,5,3,2,0,0,57,7,4,48,synthetic
0.5,5,1,5,0,0,65,1,5,112.0,synthetic
0.5,3,1,1,1,6,34,2,2,12,synthetic
0.5,1,1,2,1,6,30,3,1,4,synthetic
2,2,4,1,0,0,15,6,1,24,synthetic
2,5,3,3,1,18,92,1,4,36,synthetic
1,4,3,3,0,0,51,4,2,24,synthetic
1,2,2,1,0,0,34,2,14,65,synthetic
4,3,2,4,0,0,72,1,2,24,synthetic
1.5,1,4,3,1,72,47,3,4,43.0,synthetic
