text,subject,task_type,difficulty,language,source_url,source_title,source_file
Завдання: розрахувати Rf кожної плями та зробити висновок про компоненти суміші. Питання: 1. Напишіть рівняння реакції амінокислоти з нінгідрином. 2. Чому олівець повинен бути звичайним ? 25 3.4.,Математика,other,1,uk,local_raw_file,AOS_posibnyk.pdf,backend/infrastructure/ml/datasets/raw\AOS_posibnyk.pdf
"Завдання 4. Виписати із різних джерел і записати 7- 8 висловлювань учених, письменників, відомих політичних діячів про українську мо ву.",Інше,other,1,uk,http://dspace.msu.edu.ua:8080/bitstream/123456789/4644/1/Workshop_%20on_%20the_%20Ukrainian_%20language_%20for_%20professional_%20orientation_%20a_%20textbook.pdf,ПРАКТИКУМ З УКРАЇНСЬКОЇ МОВИ ЗА ПРОФЕСІЙНИМ ...,backend/infrastructure/ml/datasets/raw\31_dbc8c6af869f.pdf
"Завдання 6. Відредагувати словосполучення та записати з кількома з них речення. Прийняти участь, прийти до свідомості, відмінити указ , буханка хлі ба, в залежності від о бставин, в якості керівника , українець по походженню, живу по вулиці Тараса Шевченка, протікання хвороби.",Інше,other,1,uk,http://dspace.msu.edu.ua:8080/bitstream/123456789/4644/1/Workshop_%20on_%20the_%20Ukrainian_%20language_%20for_%20professional_%20orientation_%20a_%20textbook.pdf,ПРАКТИКУМ З УКРАЇНСЬКОЇ МОВИ ЗА ПРОФЕСІЙНИМ ...,backend/infrastructure/ml/datasets/raw\31_dbc8c6af869f.pdf
"Завдання 7. Пояснити відмінність у значенні слів -паронімів. Скласти речення із запропонованими словами. Дипломат - диплом ант, адресат - адресан т; виборний – виборчий; вникати – уникати; гривня – гривна; громадський – громадянський.",Інше,other,1,uk,http://dspace.msu.edu.ua:8080/bitstream/123456789/4644/1/Workshop_%20on_%20the_%20Ukrainian_%20language_%20for_%20professional_%20orientation_%20a_%20textbook.pdf,ПРАКТИКУМ З УКРАЇНСЬКОЇ МОВИ ЗА ПРОФЕСІЙНИМ ...,backend/infrastructure/ml/datasets/raw\31_dbc8c6af869f.pdf
"Завдання 8. Пояснити значення фразеологізмів, з’ясувати їх похо дження. Манна небесна, шити бі лими нитками, скринька Пандори, на руку ковінька, притча во язицех, як свиня на коня, муки Тантала, грати першу скрипку.",Інше,other,1,uk,http://dspace.msu.edu.ua:8080/bitstream/123456789/4644/1/Workshop_%20on_%20the_%20Ukrainian_%20language_%20for_%20professional_%20orientation_%20a_%20textbook.pdf,ПРАКТИКУМ З УКРАЇНСЬКОЇ МОВИ ЗА ПРОФЕСІЙНИМ ...,backend/infrastructure/ml/datasets/raw\31_dbc8c6af869f.pdf
Завдання 4 . У якому рядку (рядках) є неправильні форми вітання і прощання. 1. Доброго ранку! Доброго дня! Спокійної ночі! Д о зустрічі! 2. Добрий вечір! Добридень! Прощавайте! На все добре! 3. До завтра! Хай вам щастить! На добраніч! Добривечір!,Інше,other,1,uk,http://dspace.msu.edu.ua:8080/bitstream/123456789/4644/1/Workshop_%20on_%20the_%20Ukrainian_%20language_%20for_%20professional_%20orientation_%20a_%20textbook.pdf,ПРАКТИКУМ З УКРАЇНСЬКОЇ МОВИ ЗА ПРОФЕСІЙНИМ ...,backend/infrastructure/ml/datasets/raw\31_dbc8c6af869f.pdf
"Завдання 6. Про який емоційний стан свідчать подані нижче мімічні ознаки : 1) кутики губ опущені, очі розкриті й блищать, брови зближені до перенісся; 2) кутики губ підняті, очі примружені, брови підняті догори; 3) ши роко розкриті о чі, тьмяні, обл иччя статичне.",Інше,other,1,uk,http://dspace.msu.edu.ua:8080/bitstream/123456789/4644/1/Workshop_%20on_%20the_%20Ukrainian_%20language_%20for_%20professional_%20orientation_%20a_%20textbook.pdf,ПРАКТИКУМ З УКРАЇНСЬКОЇ МОВИ ЗА ПРОФЕСІЙНИМ ...,backend/infrastructure/ml/datasets/raw\31_dbc8c6af869f.pdf
"Завдання 8. Укладіть словничок іншомовних запозичень, без яких не обійтися у сфері бібліотекознавства .",Інше,other,1,uk,http://dspace.msu.edu.ua:8080/bitstream/123456789/4644/1/Workshop_%20on_%20the_%20Ukrainian_%20language_%20for_%20professional_%20orientation_%20a_%20textbook.pdf,ПРАКТИКУМ З УКРАЇНСЬКОЇ МОВИ ЗА ПРОФЕСІЙНИМ ...,backend/infrastructure/ml/datasets/raw\31_dbc8c6af869f.pdf
"Завдання 9. Опишіть українську па радигму мов леннєвих формул, якою послуговуються у ситуації знайомства .",Інше,other,1,uk,http://dspace.msu.edu.ua:8080/bitstream/123456789/4644/1/Workshop_%20on_%20the_%20Ukrainian_%20language_%20for_%20professional_%20orientation_%20a_%20textbook.pdf,ПРАКТИКУМ З УКРАЇНСЬКОЇ МОВИ ЗА ПРОФЕСІЙНИМ ...,backend/infrastructure/ml/datasets/raw\31_dbc8c6af869f.pdf
"Завдання 10. Укладіть словничок сленгізмів, якими найбіл ьше послуговуються студенти Мукачівського державного університету .",Інше,other,1,uk,http://dspace.msu.edu.ua:8080/bitstream/123456789/4644/1/Workshop_%20on_%20the_%20Ukrainian_%20language_%20for_%20professional_%20orientation_%20a_%20textbook.pdf,ПРАКТИКУМ З УКРАЇНСЬКОЇ МОВИ ЗА ПРОФЕСІЙНИМ ...,backend/infrastructure/ml/datasets/raw\31_dbc8c6af869f.pdf
