date,total_event_hours,number_of_events,first_event_hour,last_event_hour,day_span_hours,lecture_hours,practice_hours,lab_hours,exam_hours,consultation_hours,work_hours,personal_hours,study_event_hours,lecture_count,practice_count,lab_count,exam_count,consultation_count,work_count,personal_count,study_event_count,number_of_subjects,number_of_tasks,planned_tasks,in_progress_tasks,completed_tasks,missed_tasks,total_task_difficulty,avg_task_difficulty,total_task_duration,avg_task_duration,completion_rate,missed_rate,status_changes_count,done_logs_count,missed_logs_count,schedule_load_score
2023-07-14,1.5,1,13.0,14.5,1.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,10.5
2024-09-02,1.33,1,11.83,13.17,1.33,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,9.48
2024-09-05,1.33,1,11.83,13.17,1.33,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,9.48
2024-09-09,1.33,1,10.17,11.5,1.33,1.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,10.81
2024-09-10,4.0,3,8.5,13.17,4.67,1.33,0,2.67,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,43.51
2024-09-11,5.33,4,13.5,19.5,6.0,1.33,0,4.0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,59.81
2024-09-12,2.67,2,8.5,11.5,3.0,2.67,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,21.69
2024-09-13,3.17,3,8.5,12.0,3.5,0,0,2.67,0,0,0,1.0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,36.2
2024-09-14,5.33,4,8.5,14.83,6.33,2.67,0,0,0,0,0,0,2.67,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,40.71
2024-09-16,2.67,2,10.17,13.17,3.0,1.33,0,0,0,0,0,0,1.33,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,20.29
2024-09-17,3.17,3,8.5,14.75,6.25,0,0,2.67,0,0,0,0.5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,34.7
